
@relation gathering2

@attribute fuel {full, much, half, little, lack}
@attribute water {full, much, half, little, lack}
@attribute surface {Buraki, Kukurydza, Droga}
@attribute maturity {developed, well, medium, poorly}
@attribute fuel_distance {far, medium, near}
@attribute water_distance {far, medium, near}
@attribute weather {sunny, cloudy, rainy}
@attribute gather {yes, no}

@data
lack, half, Buraki, poorly, near, medium, cloudy, no
full, half, Kukurydza, developed, near, medium, sunny, no
much, much, Kukurydza, developed, near, medium, cloudy, yes
little, full, Droga, well, far, medium, rainy, no
lack, much, Kukurydza, developed, far, medium, cloudy, no
half, full, Buraki, well, far, near, sunny, no
full, full, Kukurydza, medium, near, near, sunny, yes
little, little, Kukurydza, poorly, far, near, rainy, no
much, half, Droga, well, far, near, rainy, no
much, lack, Buraki, medium, medium, medium, cloudy, no
little, little, Kukurydza, medium, near, far, cloudy, no
much, full, Kukurydza, developed, medium, medium, rainy, no
half, lack, Buraki, developed, near, near, sunny, no
little, full, Droga, developed, medium, far, cloudy, no
lack, half, Buraki, well, near, medium, cloudy, no
little, full, Kukurydza, medium, medium, far, cloudy, no
lack, full, Buraki, developed, near, medium, sunny, yes
half, lack, Droga, well, medium, far, cloudy, no
lack, much, Droga, medium, far, medium, rainy, no
full, full, Droga, poorly, medium, near, sunny, no
much, lack, Droga, medium, medium, near, cloudy, no
much, much, Droga, well, near, medium, rainy, no
little, half, Droga, poorly, near, far, cloudy, no
much, full, Droga, medium, far, far, cloudy, no
full, lack, Droga, poorly, medium, medium, rainy, no
much, lack, Buraki, developed, near, near, sunny, yes
lack, full, Buraki, developed, medium, near, rainy, no
much, half, Buraki, well, near, near, rainy, no
full, half, Droga, well, medium, near, cloudy, no
full, full, Buraki, medium, medium, medium, cloudy, yes
little, much, Kukurydza, developed, near, near, sunny, no
little, full, Buraki, poorly, medium, near, cloudy, no
much, half, Droga, medium, far, medium, cloudy, no
half, much, Kukurydza, well, far, near, sunny, no
little, lack, Droga, developed, near, medium, cloudy, no
half, little, Buraki, poorly, near, medium, cloudy, no
lack, half, Droga, poorly, medium, medium, sunny, no
little, much, Droga, poorly, near, medium, cloudy, no
much, much, Kukurydza, developed, near, near, cloudy, yes
half, little, Kukurydza, well, medium, medium, cloudy, no
full, little, Buraki, developed, far, far, rainy, no
much, half, Kukurydza, developed, near, medium, cloudy, no
lack, half, Kukurydza, medium, medium, near, sunny, no
full, half, Kukurydza, medium, near, near, sunny, no
much, much, Buraki, developed, medium, near, cloudy, yes
little, half, Buraki, medium, medium, near, rainy, no
lack, little, Kukurydza, well, medium, far, rainy, no
half, much, Droga, medium, medium, far, cloudy, no
half, much, Droga, medium, near, medium, cloudy, no
lack, little, Kukurydza, developed, medium, near, cloudy, no
little, lack, Droga, poorly, near, medium, rainy, no
full, little, Droga, poorly, near, far, rainy, no
half, little, Kukurydza, medium, near, near, sunny, no
much, half, Droga, medium, medium, near, sunny, no
full, full, Kukurydza, developed, near, near, cloudy, yes
lack, half, Droga, poorly, medium, far, cloudy, no
lack, half, Droga, poorly, near, medium, rainy, no
half, much, Droga, medium, near, near, cloudy, no
full, lack, Droga, well, medium, near, cloudy, no
lack, lack, Buraki, poorly, near, near, rainy, no
little, lack, Kukurydza, well, far, near, cloudy, no
full, full, Buraki, well, near, far, cloudy, yes
full, full, Droga, well, medium, medium, sunny, no
little, lack, Kukurydza, developed, far, near, rainy, no
much, much, Droga, poorly, far, far, rainy, no
full, much, Kukurydza, well, near, near, sunny, yes
little, lack, Kukurydza, developed, medium, far, rainy, no
full, half, Droga, medium, far, far, sunny, no
half, full, Buraki, developed, medium, far, rainy, no
lack, little, Buraki, well, medium, far, sunny, no
much, half, Droga, developed, near, medium, cloudy, no
little, full, Buraki, developed, medium, medium, cloudy, no
full, half, Buraki, poorly, medium, medium, sunny, no
lack, much, Buraki, poorly, near, near, sunny, yes
little, half, Droga, well, near, far, sunny, no
half, half, Droga, poorly, far, medium, cloudy, no
full, full, Droga, poorly, medium, far, sunny, no
much, half, Kukurydza, developed, near, medium, cloudy, no
lack, little, Droga, developed, far, medium, rainy, no
lack, full, Kukurydza, well, far, near, cloudy, no
full, little, Buraki, well, medium, near, cloudy, yes
little, half, Kukurydza, developed, medium, medium, cloudy, no
lack, lack, Kukurydza, poorly, near, near, cloudy, yes
little, much, Droga, well, near, medium, cloudy, no
full, lack, Droga, developed, near, near, rainy, no
much, little, Buraki, well, near, far, rainy, no
little, much, Kukurydza, poorly, medium, medium, sunny, no
much, full, Kukurydza, medium, medium, near, cloudy, yes
half, full, Droga, poorly, near, near, cloudy, no
much, half, Kukurydza, medium, near, far, rainy, no
full, lack, Kukurydza, developed, far, medium, cloudy, no
much, lack, Kukurydza, medium, far, medium, cloudy, no
little, full, Droga, developed, far, far, sunny, no
little, little, Kukurydza, developed, far, medium, rainy, no
much, full, Buraki, poorly, near, medium, rainy, no
half, full, Droga, well, far, far, rainy, no
lack, full, Buraki, medium, far, far, sunny, no
much, full, Buraki, developed, near, far, cloudy, yes
half, much, Droga, developed, near, near, rainy, no
lack, full, Kukurydza, well, near, near, rainy, no
much, little, Buraki, developed, medium, medium, cloudy, no
full, lack, Droga, developed, medium, medium, rainy, no
much, half, Buraki, developed, far, far, sunny, no
full, much, Kukurydza, poorly, medium, far, cloudy, yes
half, much, Kukurydza, developed, near, medium, sunny, no
little, lack, Droga, poorly, medium, medium, rainy, no
full, full, Droga, developed, far, far, cloudy, no
lack, half, Buraki, poorly, medium, far, sunny, no
full, much, Droga, well, medium, medium, sunny, no
full, lack, Buraki, poorly, far, near, rainy, no
full, half, Buraki, medium, near, near, rainy, no
lack, full, Buraki, developed, near, near, rainy, no
half, full, Buraki, poorly, medium, medium, sunny, no
much, full, Droga, medium, far, far, rainy, no
lack, little, Buraki, developed, far, medium, sunny, no
full, much, Kukurydza, well, far, near, sunny, yes
full, lack, Kukurydza, developed, near, near, sunny, yes
full, much, Kukurydza, medium, near, far, cloudy, yes
full, little, Buraki, medium, near, medium, rainy, no
little, full, Droga, well, near, medium, rainy, no
lack, little, Buraki, developed, medium, medium, rainy, no
lack, little, Droga, poorly, far, far, sunny, no
much, half, Droga, well, near, medium, cloudy, no
full, little, Droga, poorly, far, medium, rainy, no
lack, full, Buraki, medium, medium, medium, sunny, no
half, half, Buraki, developed, medium, far, rainy, no
little, half, Kukurydza, medium, far, near, sunny, no
lack, half, Kukurydza, medium, near, near, rainy, no
little, little, Kukurydza, developed, near, near, sunny, no
full, little, Droga, medium, medium, medium, cloudy, no
little, full, Droga, developed, far, medium, rainy, no
lack, half, Droga, medium, far, far, rainy, no
lack, little, Droga, developed, far, medium, rainy, no
full, lack, Buraki, developed, near, medium, sunny, no
much, full, Droga, medium, medium, near, sunny, no
full, full, Droga, well, far, near, cloudy, no
much, full, Droga, medium, far, near, sunny, no
half, much, Kukurydza, medium, medium, medium, cloudy, no
lack, full, Buraki, developed, near, far, rainy, no
full, half, Droga, developed, far, far, cloudy, no
full, full, Kukurydza, developed, near, far, sunny, yes
lack, half, Droga, developed, near, near, cloudy, no
half, lack, Buraki, well, near, medium, sunny, no
lack, little, Droga, well, far, near, sunny, no
little, much, Kukurydza, well, far, far, rainy, no
half, lack, Droga, poorly, near, near, sunny, no
lack, little, Kukurydza, medium, far, near, sunny, no
little, much, Buraki, developed, far, medium, rainy, no
half, lack, Kukurydza, poorly, near, medium, cloudy, no
half, full, Buraki, well, near, near, rainy, no
half, lack, Droga, medium, medium, near, sunny, no
little, much, Kukurydza, medium, medium, medium, cloudy, no
lack, little, Droga, well, medium, medium, rainy, no
lack, much, Droga, well, far, medium, cloudy, no
lack, half, Droga, poorly, medium, near, rainy, no
lack, lack, Buraki, medium, medium, far, sunny, no
little, lack, Droga, medium, near, medium, rainy, no
lack, little, Buraki, well, far, medium, rainy, no
full, much, Buraki, poorly, medium, far, sunny, yes
half, much, Kukurydza, poorly, medium, far, rainy, no
lack, lack, Kukurydza, developed, medium, medium, rainy, no
little, much, Buraki, medium, near, near, sunny, no
little, lack, Kukurydza, developed, near, far, sunny, no
little, full, Buraki, developed, near, near, sunny, no
much, little, Kukurydza, poorly, medium, near, cloudy, yes
much, full, Buraki, well, near, medium, cloudy, yes
much, much, Droga, medium, far, near, cloudy, no
little, little, Kukurydza, medium, medium, near, sunny, no
full, much, Kukurydza, poorly, near, far, cloudy, yes
much, half, Kukurydza, well, far, far, rainy, no
lack, little, Kukurydza, poorly, medium, far, rainy, no
little, half, Buraki, poorly, far, near, rainy, no
much, full, Buraki, well, medium, medium, sunny, yes
full, much, Droga, well, medium, far, sunny, no
much, full, Kukurydza, poorly, medium, medium, cloudy, yes
much, lack, Buraki, poorly, near, far, sunny, no
much, full, Droga, poorly, far, far, sunny, no
full, little, Kukurydza, poorly, medium, near, sunny, yes
little, much, Buraki, medium, medium, medium, cloudy, no
lack, much, Kukurydza, well, medium, far, cloudy, no
half, full, Kukurydza, well, medium, near, cloudy, no
half, half, Droga, well, near, near, cloudy, no
full, little, Droga, medium, far, medium, rainy, no
full, little, Kukurydza, developed, far, far, rainy, no
half, half, Buraki, poorly, near, far, cloudy, no
half, much, Droga, well, near, medium, rainy, no
full, full, Kukurydza, developed, near, near, rainy, no
lack, full, Buraki, poorly, near, near, cloudy, yes
little, full, Kukurydza, poorly, near, far, sunny, no
much, little, Kukurydza, well, far, near, cloudy, no
little, full, Kukurydza, poorly, near, near, cloudy, no
little, half, Buraki, medium, far, far, cloudy, no
full, full, Kukurydza, poorly, far, near, sunny, yes
