@relation gathering

@attribute fuel {full, much, half, little, lack}
@attribute surface {Buraki, Kukurydza, Droga}
@attribute maturity {developed, well, medium, poorly}
@attribute distance {far, medium, near}
@attribute gather {yes, no}

@data
half, Buraki, developed, medium, no
half, Buraki, well, medium, no
much, Buraki, well, medium, yes
full, Buraki, developed, medium, yes
full, Buraki, well, medium, yes
half, Kukurydza, developed, medium, no
half, Kukurydza, well, medium, no
much, Kukurydza, well, medium, yes
full, Kukurydza, developed, medium, yes
full, Kukurydza, well, medium, yes
half, Buraki, developed, far, no
half, Buraki, well, far, no
much, Buraki, developed, far, no
much, Buraki, well, far, no
full, Buraki, developed, far, yes
full, Buraki, well, far, yes
half, Kukurydza, developed, far, no
half, Kukurydza, well, far, no
much, Kukurydza, developed, far, no
much, Kukurydza, well, far, no
full, Kukurydza, developed, far, yes
full, Kukurydza, well, far, yes
half, Buraki, developed, near, yes
half, Buraki, well, near, yes
much, Buraki, developed, near, yes
much, Buraki, well, near, yes
full, Buraki, developed, near, yes
full, Buraki, well, near, yes
half, Kukurydza, developed, near, yes
half, Kukurydza, well, near, yes
much, Kukurydza, developed, near, yes
much, Kukurydza, well, near, yes
full, Kukurydza, developed, near, yes
full, Kukurydza, well, near, yes
lack, Buraki, developed, near, no
little, Buraki, developed, near, no
lack, Kukurydza, developed, near, no
little, Kukurydza, developed, near,  no
half, Buraki, developed, near, yes
half, Droga, developed, near, no
full, Droga, developed, medium, no
full, Droga, developed, far, no
half, Buraki, medium, near, no
half, Buraki, poorly, near, no
half, Droga, developed, near, no
half, Kukurydza, developed, near, yes
much, Droga, developed, medium, no
much, Droga, well, medium, no
much, Kukurydza, medium, medium, no
much, Buraki, poorly, medium, no
much, Buraki, developed, medium, yes
much, Droga, developed, near, no
much, Kukurydza, well, near, yes
much, Droga, well, medium, no
much, Droga, developed, medium, no
much, Buraki, developed, medium, yes
much, Kukurydza, developed, medium, yes
much, Buraki, well, medium, yes
much, Kukurydza, well, medium, yes
lack, Droga, well, near, no
little, Droga, well, near, no
half, Droga, well, near, no
half, Buraki, developed, medium, no
half, Buraki, well, medium, no
half, Buraki, poorly, medium, no
half, Buraki, medium, medium, no
much, Buraki, developed, medium, yes
much, Buraki, well, medium, yes
much, Buraki, poorly, medium, no
much, Buraki, medium, medium, no
full, Buraki, developed, medium, yes
full, Buraki, well, medium, yes
full, Buraki, poorly, medium, no
full, Buraki, medium, medium, no
half, Kukurydza, developed, medium, no
half, Kukurydza, well, medium, no
half, Kukurydza, poorly, medium, no
half, Kukurydza, medium, medium, no 
much, Kukurydza, developed, medium, yes
much, Kukurydza, well, medium, yes
much, Kukurydza, poorly, medium, no
much, Kukurydza, medium, medium, no
full, Kukurydza, developed, medium, yes
full, Kukurydza, well, medium, yes
full, Kukurydza, poorly, medium, no
full, Kukurydza, medium, medium, no
much, Buraki, developed, far, no
much, Kukurydza, developed, far , no
half, Droga, well, near, no
much, Droga, well, near, no
full, Droga, well, near, no
half, Droga, developed, near, no
much, Droga, developed, near, no
full, Droga, developed, near, no
half, Droga, well, medium, no
much, Droga, well, medium, no
full, Droga, well, medium, no
half, Droga, developed, medium, no
much, Droga, developed, medium, no
full, Droga, developed, medium, no
half, Droga, well, far, no
much, Droga, well, far, no
full, Droga, well, far, no
half, Droga, developed, far, no
much, Droga, developed, far, no
full, Droga, developed, far, no
lack, Buraki, well, near, no
little, Buraki, well, near, no
half, Buraki, well, near, yes
much, Buraki, well, near, yes
full, Buraki, well, near, yes
lack, Kukurydza, well, near, no
little, Kukurydza, well, near,  no
half, Kukurydza, well, near, yes
much, Kukurydza, well, near, yes
full, Kukurydza, well, near, yes
